x,y,freshwater_hci,popden2010,maxRDD,meanUSE,maxDOF,minCSI,maxSED
-64.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.875,82.625,,,1.0,1.0,1.0,1.0,1.0
-63.625,82.625,,,1.0,1.0,1.0,1.0,1.0
-63.375,82.625,,,1.0,1.0,1.0,1.0,1.0
-63.125,82.625,,,1.0,1.0,1.0,1.0,1.0
-62.375,82.625,,,1.0,1.0,1.0,1.0,1.0
-50.375,82.625,,,1.0,1.0,1.0,1.0,1.0
-46.875,82.625,,,1.0,1.0,1.0,1.0,1.0
-46.625,82.625,,,1.0,1.0,1.0,1.0,1.0
-46.375,82.625,,,1.0,1.0,1.0,1.0,1.0
-46.125,82.625,,,1.0,1.0,1.0,1.0,1.0
-45.875,82.625,,,1.0,1.0,1.0,1.0,1.0
-45.375,82.625,,,1.0,1.0,1.0,1.0,1.0
-44.625,82.625,,,1.0,1.0,1.0,1.0,1.0
-44.375,82.625,1.0,1.0,,,,,
-44.125,82.625,1.0,1.0,,,,,
-43.875,82.625,1.0,1.0,,,,,
-43.625,82.625,1.0,1.0,,,,,
-43.375,82.625,1.0,1.0,,,,,
-43.125,82.625,1.0,1.0,,,,,
-42.875,82.625,1.0,1.0,,,,,
-42.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-42.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-42.125,82.625,,,1.0,1.0,1.0,1.0,1.0
-41.625,82.625,,,1.0,1.0,1.0,1.0,1.0
-40.125,82.625,,,1.0,1.0,1.0,1.0,1.0
-39.875,82.625,,,1.0,1.0,1.0,1.0,1.0
-39.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.625,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-38.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
